usernname,score
Opportunities2,0.004344
LazyBCouch,0.021720
WatchesThomasBird,0.030408
______3333_____,0.000869
RasoHorse49,0.017376
CuriousPlateBobbie_Mallon,0.000000
Moore1961,0.000000
AttentativeKHouse,0.000000
LovesCarolBear,0.000000
Syndicated4,0.006082
Grant1953Rapp,0.000000
FamousMHouse1968,0.000000
FuriousGeorgeLight,0.000000
LazyDCandy2005,0.000869
CantonCoordon2,0.002606
JordanWantsBac0n,0.006082
FleetDHouse,0.000000
Syndicated5,0.003475
Syndicated348,0.002606
FastBBanana40,0.000869
J0rdanWantsBacon,0.003475
FuriousBHouse,0.000869
Marisela_KozmaMouse1991,0.000000
Manuel_OrrLion64,0.000000
Wilbur1994B,0.000000
Opportunities1,0.003475
handle,0.000869
FuriousJohnsonCouch,0.000869
LazyDenisePlate,0.000000
JAttentativeConcepcion,0.000000
CandidSchultzCandy89,0.019114
CuriousBananaHarper,0.000000
JLazySturgeon,0.000000
TallWoodyHouse,0.000000
FearsCowerWhale,0.000000
William38L,0.000000
Patrick_BraswellOctopus1967,0.000000
WatchesLavette_KoshiolHorse,0.000000
Lisa1979G,0.000000
ThorneWhale75,0.000000
Maria1966Lincourt,0.000869
DarkGCar,0.000000
LazyRobinsonLight2011,0.011295
Jeanne_Tristan45,0.000000
BillyBird57,0.000000
BusyCHouse,0.000000
RacesJohnLion,0.000000
Maultsby79,0.001738
FamousTPlate,0.000000
CandidRBread72,0.000000
DarkSIcecream,0.000000
ObnoxiousABowl,0.000000
FastTPlate,0.000000
WileyMPlate39,0.003475
FastBCar,0.001738
TallLCandy,0.000000
SmartABread,0.000000
R93Bronn,0.000000
DarkCandyWm_Wood,0.037359
SmartJBread,0.000000
CuriousIcecreamFrank,0.000869
LockwoodBird27,0.000869
LinaLazyM,0.000000
LazyFIcecream,0.001738
CaldwellLion1978,0.000000
CandidDBanana,0.000000
Bryan_Brown1993,0.000000
FleetHCouch1961,0.000869
BusyLeonCandy,0.000869
CleverDCandy,0.034752
DarkPrattisPlate,0.000000
WileyBowlJoyce_Avino,0.012163
CleverLightSheri_Vig,0.000000
CleverBowlLarkin,0.000000
LazyAPlate,0.000000
FuriousMCouch,0.000869
CandidSimmonsBowl1962,0.000000
Raymond_ZhouLion1952,0.000869
Maria2010,0.000000
Marine48,0.000000
TreloarWhale42,0.004344
CaraCuriousR,0.000869
Tonya1989Ross,0.000000
SmartNosekIcecream63,0.000000
Sara_LoucksCat77,0.000000
GCandidTerry,0.000000
D1954Nelson,0.000000
LovesLevi_XaimoungkhounOctopus,0.000000
Elaine81,0.000869
HoldsFrank_CasonBear,0.012163
FleetJIcecream,0.000000
LovesJohn_BeltOctopus,0.000000
MysakFish84,0.011295
LazyBoothBowl,0.000000
Sarah_Cloutier20,0.024327
LazyJoyceBanana,0.013032
GuapoHelenCouch,0.000000
Annie2002Leavitt,0.032146
PeggyHorse1982,0.000000
FearsMaud_SettersBear,0.000000
Hannahs1991,0.000869
Rydberg89,0.006082
DarkBowlRinehart,0.000000
RacesWilliamHorse,0.012163
AttentativeMBowl,0.012163
SmartPCar,0.000869
WileyRCouch,0.000000
AttentativeAllenLight2002,0.017376
Wilkins1976,0.000869
